hwt6
Partitioned - Decimal
   186: 220020 654
   187: 210202 587
   188: 220202 668
   189: 100002 245
   190: 001021 34
   191: 002021 61
   192: 010021 88
   193: 110210 345
   194: 120210 426
   195: 020021 169
   196: 210210 588
   197: 220210 669
   198: 100021 250
   199: 010211 103
   200: 020211 184
   201: 100211 265
   202: 102111 310
   203: 202111 553
   204: 200211 508
   205: 102112 311
   206: 202112 554
   207: 200021 493
   208: 010212 104
   209: 020212 185
   210: 100212 266
   211: 102121 313
   212: 202121 556
   213: 200212 509
   214: 102122 314
   215: 202122 557
   216: 200002 488
   217: 001022 35
   218: 002022 62
   219: 010022 89
   220: 110220 348
   221: 120220 429
   222: 020022 170
   223: 210220 591
   224: 220220 672
   225: 100022 251
   226: 010221 106
   227: 020221 187
   228: 100221 268
   229: 102211 319
   230: 202211 562
   231: 200221 511
   232: 102212 320
   233: 202212 563
   234: 200022 494
   235: 010222 107
   236: 020222 188
   237: 100222 269
   238: 102221 322
   239: 202221 565
   240: 200222 512
   241: 102222 323
   242: 202222 566
   243: 000001 1
   244: 000110 12
   245: 000210 21
   246: 001010 30
   247: 011100 117
   248: 012100 144
   249: 002010 57
   250: 021100 198
   251: 022100 225
   252: 010010 84
   253: 101100 279
   254: 102100 306
   255: 110100 333
   256: 111001 352
   257: 121001 433
   258: 120100 414
   259: 211001 595
   260: 221001 676
   261: 020010 165
   262: 201100 522
   263: 202100 549
   264: 210100 576
   265: 111002 353
   266: 121002 434
   267: 220100 657
   268: 211002 596
   269: 221002 677
   270: 100010 246
   271: 001101 37
   272: 002101 64
   273: 010101 91
   274: 111010 354
   275: 121010 435
   276: 020101 172
   277: 211010 597
   278: 221010 678
   279: 100101 253
   280: 011011 112
   281: 021011 193
   282: 101011 274
   283: 110111 337
   284: 210111 580
   285: 201011 517
   286: 110112 338
   287: 210112 581
   288: 200101 496
   289: 011012 113
   290: 021012 194
   291: 101012 275
   292: 110121 340
   293: 210121 583
   294: 201012 518
   295: 110122 341
   296: 210122 584
   297: 200010 489
   298: 001102 38
   299: 002102 65
   300: 010102 92
   301: 111020 357
   302: 121020 438
   303: 020102 173
   304: 211020 600
   305: 221020 681
   306: 100102 254
   307: 011021 115
   308: 021021 196
   309: 101021 277
   310: 110211 346
   311: 210211 589
   312: 201021 520
   313: 110212 347
   314: 210212 590
   315: 200102 497
   316: 011022 116
   317: 021022 197
   318: 101022 278
   319: 110221 349
   320: 210221 592
   321: 201022 521
   322: 110222 350
   323: 210222 593
   324: 000011 4
   325: 001110 39
   326: 002110 66
   327: 010110 93
   328: 111100 360
   329: 121100 441
   330: 020110 174
   331: 211100 603
   332: 221100 684
   333: 100110 255
   334: 011101 118
   335: 021101 199
   336: 101101 280
   337: 111011 355
   338: 211011 598
   339: 201101 523
   340: 111012 356
   341: 211012 599
   342: 200110 498
   343: 011102 119
   344: 021102 200
   345: 101102 281
   346: 111021 358
   347: 211021 601
   348: 201102 524
   349: 111022 359
   350: 211022 602
   351: 000111 13
   352: 011110 120
   353: 021110 201
   354: 101110 282
   355: 111101 361
   356: 211101 604
   357: 201110 525
   358: 111102 362
   359: 211102 605
   360: 001111 40
   361: 111110 363
   362: 211110 606
   363: 011111 121
   364: 111111 364
   365: 111112 365
   366: 011112 122
   367: 111121 367
   368: 111122 368
   369: 001112 41
   370: 111120 366
   371: 211120 609
   372: 011121 124
   373: 111211 373
   374: 111212 374
   375: 011122 125
   376: 111221 376
   377: 111222 377
   378: 000112 14
   379: 011120 123
   380: 021120 204
   381: 101120 285
   382: 111201 370
   383: 211201 613
   384: 201120 528
   385: 111202 371
   386: 211202 614
   387: 001121 43
   388: 111210 372
   389: 211210 615
   390: 011211 130
   391: 112111 391
   392: 112112 392
   393: 011212 131
   394: 112121 394
   395: 112122 395
   396: 001122 44
   397: 111220 375
   398: 211220 618
   399: 011221 133
   400: 112211 400
   401: 112212 401
   402: 011222 134
   403: 112221 403
   404: 112222 404
   405: 000012 5
   406: 001120 42
   407: 002120 69
   408: 010120 96
   409: 111200 369
   410: 121200 450
   411: 020120 177
   412: 211200 612
   413: 221200 693
   414: 100120 258
   415: 011201 127
   416: 021201 208
   417: 101201 289
   418: 112011 382
   419: 212011 625
   420: 201201 532
   421: 112012 383
   422: 212012 626
   423: 200120 501
   424: 011202 128
   425: 021202 209
   426: 101202 290
   427: 112021 385
   428: 212021 628
   429: 201202 533
   430: 112022 386
   431: 212022 629
   432: 000121 16
   433: 011210 129
   434: 021210 210
   435: 101210 291
   436: 112101 388
   437: 212101 631
   438: 201210 534
   439: 112102 389
   440: 212102 632
   441: 001211 49
   442: 112110 390
   443: 212110 633
   444: 012111 148
   445: 121111 445
   446: 121112 446
   447: 012112 149
   448: 121121 448
   449: 121122 449
   450: 001212 50
   451: 112120 393
   452: 212120 636
   453: 012121 151
   454: 121211 454
   455: 121212 455
   456: 012122 152
   457: 121221 457
   458: 121222 458
   459: 000122 17
   460: 011220 132
   461: 021220 213
   462: 101220 294
   463: 112201 397
   464: 212201 640
   465: 201220 537
   466: 112202 398
   467: 212202 641
   468: 001221 52
   469: 112210 399
   470: 212210 642
   471: 012211 157
   472: 122111 472
   473: 122112 473
   474: 012212 158
   475: 122121 475
   476: 122122 476
   477: 001222 53
   478: 112220 402
   479: 212220 645
   480: 012221 160
   481: 122211 481
   482: 122212 482
   483: 012222 161
   484: 122221 484
   485: 122222 485
   486: 000002 2
   487: 000120 15
   488: 000220 24
   489: 001020 33
   490: 011200 126
   491: 012200 153
   492: 002020 60
   493: 021200 207
   494: 022200 234
   495: 010020 87
   496: 101200 288
   497: 102200 315
   498: 110200 342
   499: 112001 379
   500: 122001 460
   501: 120200 423
   502: 212001 622
   503: 222001 703
   504: 020020 168
   505: 201200 531
   506: 202200 558
   507: 210200 585
   508: 112002 380
   509: 122002 461
   510: 220200 666
   511: 212002 623
   512: 222002 704
   513: 100020 249
   514: 001201 46
   515: 002201 73
   516: 010201 100
   517: 112010 381
   518: 122010 462
   519: 020201 181
   520: 212010 624
   521: 222010 705
   522: 100201 262
   523: 012011 139
   524: 022011 220
   525: 102011 301
   526: 120111 418
   527: 220111 661
   528: 202011 544
   529: 120112 419
   530: 220112 662
   531: 200201 505
   532: 012012 140
   533: 022012 221
   534: 102012 302
   535: 120121 421
   536: 220121 664
   537: 202012 545
   538: 120122 422
   539: 220122 665
   540: 200020 492
   541: 001202 47
   542: 002202 74
   543: 010202 101
   544: 112020 384
   545: 122020 465
   546: 020202 182
   547: 212020 627
   548: 222020 708
   549: 100202 263
   550: 012021 142
   551: 022021 223
   552: 102021 304
   553: 120211 427
   554: 220211 670
   555: 202021 547
   556: 120212 428
   557: 220212 671
   558: 200202 506
   559: 012022 143
   560: 022022 224
   561: 102022 305
   562: 120221 430
   563: 220221 673
   564: 202022 548
   565: 120222 431
   566: 220222 674
   567: 000021 7
   568: 001210 48
   569: 002210 75
   570: 010210 102
   571: 112100 387
   572: 122100 468
   573: 020210 183
   574: 212100 630
   575: 222100 711
   576: 100210 264
   577: 012101 145
   578: 022101 226
   579: 102101 307
   580: 121011 436
   581: 221011 679
   582: 202101 550
   583: 121012 437
   584: 221012 680
   585: 200210 507
   586: 012102 146
   587: 022102 227
   588: 102102 308
   589: 121021 439
   590: 221021 682
   591: 202102 551
   592: 121022 440
   593: 221022 683
   594: 000211 22
   595: 012110 147
   596: 022110 228
   597: 102110 309
   598: 121101 442
   599: 221101 685
   600: 202110 552
   601: 121102 443
   602: 221102 686
   603: 002111 67
   604: 121110 444
   605: 221110 687
   606: 021111 202
   607: 211111 607
   608: 211112 608
   609: 021112 203
   610: 211121 610
   611: 211122 611
   612: 002112 68
   613: 121120 447
   614: 221120 690
   615: 021121 205
   616: 211211 616
   617: 211212 617
   618: 021122 206
   619: 211221 619
   620: 211222 620
   621: 000212 23
   622: 012120 150
   623: 022120 231
   624: 102120 312
   625: 121201 451
   626: 221201 694
   627: 202120 555
   628: 121202 452
   629: 221202 695
   630: 002121 70
   631: 121210 453
   632: 221210 696
   633: 021211 211
   634: 212111 634
   635: 212112 635
   636: 021212 212
   637: 212121 637
   638: 212122 638
   639: 002122 71
   640: 121220 456
   641: 221220 699
   642: 021221 214
   643: 212211 643
   644: 212212 644
   645: 021222 215
   646: 212221 646
   647: 212222 647
   648: 000022 8
   649: 001220 51
   650: 002220 78
   651: 010220 105
   652: 112200 396
   653: 122200 477
   654: 020220 186
   655: 212200 639
   656: 222200 720
   657: 100220 267
   658: 012201 154
   659: 022201 235
   660: 102201 316
   661: 122011 463
   662: 222011 706
   663: 202201 559
   664: 122012 464
   665: 222012 707
   666: 200220 510
   667: 012202 155
   668: 022202 236
   669: 102202 317
   670: 122021 466
   671: 222021 709
   672: 202202 560
   673: 122022 467
   674: 222022 710
   675: 000221 25
   676: 012210 156
   677: 022210 237
   678: 102210 318
   679: 122101 469
   680: 222101 712
   681: 202210 561
   682: 122102 470
   683: 222102 713
   684: 002211 76
   685: 122110 471
   686: 222110 714
   687: 022111 229
   688: 221111 688
   689: 221112 689
   690: 022112 230
   691: 221121 691
   692: 221122 692
   693: 002212 77
   694: 122120 474
   695: 222120 717
   696: 022121 232
   697: 221211 697
   698: 221212 698
   699: 022122 233
   700: 221221 700
   701: 221222 701
   702: 000222 26
   703: 012220 159
   704: 022220 240
   705: 102220 321
   706: 122201 478
   707: 222201 721
   708: 202220 564
   709: 122202 479
   710: 222202 722
   711: 002221 79
   712: 122210 480
   713: 222210 723
   714: 022211 238
   715: 222111 715
   716: 222112 716
   717: 022212 239
   718: 222121 718
   719: 222122 719
   720: 002222 80
   721: 122220 483
   722: 222220 726
   723: 022221 241
   724: 222211 724
   725: 222212 725
   726: 022222 242
   727: 222221 727
   728: 222222 728
