hwt10
Partitioned - Decimal
   825: 0101200001 7777
   826: 1012100010 23574
   827: 1012200010 23817
   828: 1010200000 22356
   829: 0102010001 8101
   830: 0102020001 8182
   831: 0102100001 8263
   832: 1021100010 25032
   833: 1021200010 25275
   834: 0102200001 8506
   835: 1022100010 25761
   836: 1022200010 26004
   837: 1011000000 22599
   838: 0110010001 8830
   839: 0110020001 8911
   840: 0110100001 8992
   841: 1101100010 27219
   842: 1101200010 27462
   843: 0110200001 9235
   844: 1102100010 27948
   845: 1102200010 28191
   846: 0111000001 9478
   847: 1110100010 28677
   848: 1110200010 28920
   849: 1111000010 29163
   850: 1111000101 29170
   851: 1112000101 29899
   852: 1112000010 29892
   853: 1121000101 31357
   854: 1122000101 32086
   855: 0112000001 10207
   856: 1120100010 30864
   857: 1120200010 31107
   858: 1121000010 31350
   859: 1211000101 35731
   860: 1212000101 36460
   861: 1122000010 32079
   862: 1221000101 37918
   863: 1222000101 38647
   864: 1012000000 23328
   865: 0120010001 11017
   866: 0120020001 11098
   867: 0120100001 11179
   868: 1201100010 33780
   869: 1201200010 34023
   870: 0120200001 11422
   871: 1202100010 34509
   872: 1202200010 34752
   873: 0121000001 11665
   874: 1210100010 35238
   875: 1210200010 35481
   876: 1211000010 35724
   877: 2111000101 48853
   878: 2112000101 49582
   879: 1212000010 36453
   880: 2121000101 51040
   881: 2122000101 51769
   882: 0122000001 12394
   883: 1220100010 37425
   884: 1220200010 37668
   885: 1221000010 37911
   886: 2211000101 55414
   887: 2212000101 56143
   888: 1222000010 38640
   889: 2221000101 57601
   890: 2222000101 58330
   891: 0102000000 8019
   892: 1020001000 24084
   893: 1020002000 24111
   894: 1020010000 24138
   895: 0200110001 13447
   896: 0200120001 13528
   897: 1020020000 24219
   898: 0200210001 13690
   899: 0200220001 13771
   900: 1020100000 24300
   901: 0201010001 13933
   902: 0201020001 14014
   903: 0201100001 14095
   904: 2011100010 42528
   905: 2011200010 42771
   906: 0201200001 14338
   907: 2012100010 43257
   908: 2012200010 43500
   909: 1020200000 24543
   910: 0202010001 14662
   911: 0202020001 14743
   912: 0202100001 14824
   913: 2021100010 44715
   914: 2021200010 44958
   915: 0202200001 15067
   916: 2022100010 45444
   917: 2022200010 45687
   918: 1021000000 24786
   919: 0210010001 15391
   920: 0210020001 15472
   921: 0210100001 15553
   922: 2101100010 46902
   923: 2101200010 47145
   924: 0210200001 15796
   925: 2102100010 47631
   926: 2102200010 47874
   927: 0211000001 16039
   928: 2110100010 48360
   929: 2110200010 48603
   930: 2111000010 48846
   931: 1111000102 29171
   932: 1112000102 29900
   933: 2112000010 49575
   934: 1121000102 31358
   935: 1122000102 32087
   936: 0212000001 16768
   937: 2120100010 50547
   938: 2120200010 50790
   939: 2121000010 51033
   940: 1211000102 35732
   941: 1212000102 36461
   942: 2122000010 51762
   943: 1221000102 37919
   944: 1222000102 38648
   945: 1022000000 25515
   946: 0220010001 17578
   947: 0220020001 17659
   948: 0220100001 17740
   949: 2201100010 53463
   950: 2201200010 53706
   951: 0220200001 17983
   952: 2202100010 54192
   953: 2202200010 54435
   954: 0221000001 18226
   955: 2210100010 54921
   956: 2210200010 55164
   957: 2211000010 55407
   958: 2111000102 48854
   959: 2112000102 49583
   960: 2212000010 56136
   961: 2121000102 51041
   962: 2122000102 51770
   963: 0222000001 18955
   964: 2220100010 57108
   965: 2220200010 57351
   966: 2221000010 57594
   967: 2211000102 55415
   968: 2212000102 56144
   969: 2222000010 58323
   970: 2221000102 57602
   971: 2222000102 58331
   972: 0110000000 8748
   973: 1100001000 26271
   974: 1100002000 26298
   975: 1100010000 26325
   976: 1000110001 20008
   977: 1000120001 20089
   978: 1100020000 26406
   979: 1000210001 20251
   980: 1000220001 20332
   981: 1100100000 26487
   982: 1001010001 20494
   983: 1001020001 20575
   984: 1001100001 20656
   985: 0011100011 3163
   986: 0011200011 3406
   987: 1001200001 20899
   988: 0012100011 3892
   989: 0012200011 4135
   990: 1100200000 26730
   991: 1002010001 21223
   992: 1002020001 21304
   993: 1002100001 21385
   994: 0021100011 5350
   995: 0021200011 5593
   996: 1002200001 21628
   997: 0022100011 6079
   998: 0022200011 6322
   999: 1101000000 26973
  1000: 1010010001 21952
  1001: 1010020001 22033
  1002: 1010100001 22114
  1003: 0101100011 7537
  1004: 0101200011 7780
  1005: 1010200001 22357
  1006: 0102100011 8266
  1007: 0102200011 8509
  1008: 1011000001 22600
  1009: 0110100011 8995
  1010: 0110200011 9238
  1011: 0111000011 9481
  1012: 1111000110 29172
  1013: 1112000110 29901
  1014: 0112000011 10210
  1015: 1121000110 31359
  1016: 1122000110 32088
  1017: 1012000001 23329
  1018: 0120100011 11182
  1019: 0120200011 11425
  1020: 0121000011 11668
  1021: 1211000110 35733
  1022: 1212000110 36462
  1023: 0122000011 12397
  1024: 1221000110 37920
  1025: 1222000110 38649
  1026: 1102000000 27702
  1027: 1020010001 24139
  1028: 1020020001 24220
  1029: 1020100001 24301
  1030: 0201100011 14098
  1031: 0201200011 14341
  1032: 1020200001 24544
  1033: 0202100011 14827
  1034: 0202200011 15070
  1035: 1021000001 24787
  1036: 0210100011 15556
  1037: 0210200011 15799
  1038: 0211000011 16042
  1039: 2111000110 48855
  1040: 2112000110 49584
  1041: 0212000011 16771
  1042: 2121000110 51042
  1043: 2122000110 51771
  1044: 1022000001 25516
  1045: 0220100011 17743
  1046: 0220200011 17986
  1047: 0221000011 18229
  1048: 2211000110 55416
  1049: 2212000110 56145
  1050: 0222000011 18958
  1051: 2221000110 57603
  1052: 2222000110 58332
  1053: 1110000000 28431
  1054: 1100010001 26326
  1055: 1100020001 26407
  1056: 1100100001 26488
  1057: 1001100011 20659
  1058: 1001200011 20902
  1059: 1100200001 26731
  1060: 1002100011 21388
  1061: 1002200011 21631
  1062: 1101000001 26974
  1063: 1010100011 22117
  1064: 1010200011 22360
  1065: 1011000011 22603
  1066: 0111000111 9490
  1067: 0112000111 10219
  1068: 1012000011 23332
  1069: 0121000111 11677
  1070: 0122000111 12406
  1071: 1102000001 27703
  1072: 1020100011 24304
  1073: 1020200011 24547
  1074: 1021000011 24790
  1075: 0211000111 16051
  1076: 0212000111 16780
  1077: 1022000011 25519
  1078: 0221000111 18238
  1079: 0222000111 18967
  1080: 1110000001 28432
  1081: 1100100011 26491
  1082: 1100200011 26734
  1083: 1101000011 26977
  1084: 1011000111 22612
  1085: 1012000111 23341
  1086: 1102000011 27706
  1087: 1021000111 24799
  1088: 1022000111 25528
  1089: 1110000011 28435
  1090: 1101000111 26986
  1091: 1102000111 27715
  1092: 1110000111 28444
  1093: 1110001111 28471
  1094: 1120001111 30658
  1095: 1120000111 30631
  1096: 1210001111 35032
  1097: 1220001111 37219
  1098: 1120000011 30622
  1099: 1201000111 33547
  1100: 1202000111 34276
  1101: 1210000111 35005
  1102: 2110001111 48154
  1103: 2120001111 50341
  1104: 1220000111 37192
  1105: 2210001111 54715
  1106: 2220001111 56902
  1107: 1120000001 30619
  1108: 1200100011 33052
  1109: 1200200011 33295
  1110: 1201000011 33538
  1111: 2011000111 42295
  1112: 2012000111 43024
  1113: 1202000011 34267
  1114: 2021000111 44482
  1115: 2022000111 45211
  1116: 1210000011 34996
  1117: 2101000111 46669
  1118: 2102000111 47398
  1119: 2110000111 48127
  1120: 1110001112 28472
  1121: 1120001112 30659
  1122: 2120000111 50314
  1123: 1210001112 35033
  1124: 1220001112 37220
  1125: 1220000011 37183
  1126: 2201000111 53230
  1127: 2202000111 53959
  1128: 2210000111 54688
  1129: 2110001112 48155
  1130: 2120001112 50342
  1131: 2220000111 56875
  1132: 2210001112 54716
  1133: 2220001112 56903
  1134: 1120000000 30618
  1135: 1200010001 32887
  1136: 1200020001 32968
  1137: 1200100001 33049
  1138: 2001100011 40342
  1139: 2001200011 40585
  1140: 1200200001 33292
  1141: 2002100011 41071
  1142: 2002200011 41314
  1143: 1201000001 33535
  1144: 2010100011 41800
  1145: 2010200011 42043
  1146: 2011000011 42286
  1147: 0111000112 9491
  1148: 0112000112 10220
  1149: 2012000011 43015
  1150: 0121000112 11678
  1151: 0122000112 12407
  1152: 1202000001 34264
  1153: 2020100011 43987
  1154: 2020200011 44230
